season,date,tournament,level,classification,classification_evidence,round,surface,home_player,away_player,home_player_id,away_player_id,winner_code,home_set_score,away_set_score,source,match_key
2021,2021-06-09,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Kucova K.,Mrdeza T.,601584,411769,1.0,2.0,1.0,TennisData.app,a2ce583b981360494c3a5dbd
2021,2021-06-09,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Lukas T.,Bara I.,403135,710939,2.0,0.0,2.0,TennisData.app,7aef7216e8513aca1dd73f14
2021,2021-06-09,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Paolini J.,Govortsova O.,324333,261026,1.0,2.0,1.0,TennisData.app,2ed1718f8eec19b4d56867dc
2021,2021-06-09,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Schmiedlova A. K.,Trevisan M.,537908,357952,2.0,0.0,2.0,TennisData.app,798baf4d87b7b865d018e342
2021,2021-06-09,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Zavatska K.,Rus A.,350354,342785,2.0,0.0,1.0,TennisData.app,65f9087071137a7e9979de8c
2021,2021-06-10,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Quarter-finals,clay,Bara I.,Trevisan M.,710939,357952,1.0,2.0,1.0,TennisData.app,5e6c6647554b1c19f6024a1b
2021,2021-06-10,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Quarter-finals,clay,Blinkova A.,Haas B.,126226,684536,1.0,2.0,1.0,TennisData.app,d986129c27660f36446d02a5
2021,2021-06-10,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Quarter-finals,clay,Liu C.,Rus A.,737156,342785,2.0,1.0,2.0,TennisData.app,9642d61e2e5fa5695b5d5210
2021,2021-06-10,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Quarter-finals,clay,Paolini J.,Kucova K.,324333,601584,1.0,2.0,0.0,TennisData.app,8d6bdf7b647fec32e4d4b710
2021,2021-06-11,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Semi-finals,clay,Bara I.,Rus A.,710939,342785,2.0,0.0,2.0,TennisData.app,f844ad2e7315d77a694c7bc8
2021,2021-06-11,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Semi-finals,clay,Blinkova A.,Paolini J.,126226,324333,2.0,0.0,2.0,TennisData.app,394ba6a0b4f8058371a45dd8
2021,2021-06-12,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Final,clay,Paolini J.,Rus A.,324333,342785,1.0,2.0,0.0,TennisData.app,ae29929e6ed8c0ae5cb4d49b
2021,2021-07-05,Bastad Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Hennemann C. W.,Ersoz V.,826836,990119,1.0,2.0,0.0,TennisData.app,1a9aeaedc43a2c28c923e8c2
