y,d,e,r,s,h,a,w,hs,as,tt
2022,20221031,113,1,2,952597,615524,2,1,2,4
2022,20221101,113,1,2,735911,451842,2,1,2,4
2022,20221101,113,1,2,245242,362890,2,1,2,4
2022,20221101,113,1,2,549141,925025,1,2,0,4
2022,20221101,113,1,2,766060,555385,2,1,2,4
2022,20221101,113,1,2,400866,653254,2,0,2,4
2022,20221101,113,1,2,982666,688846,2,0,2,4
2022,20221101,113,1,2,520895,663060,1,2,0,4
2022,20221101,113,1,2,482165,701534,2,0,2,4
2022,20221101,113,1,2,937315,681390,1,2,0,4
2022,20221101,113,1,2,485516,769396,2,1,2,4
2022,20221102,113,1,2,622836,909013,2,0,2,4
2022,20221102,113,1,2,191141,237771,1,2,1,4
2022,20221102,113,1,2,540114,880806,2,1,2,4
2022,20221102,113,2,2,362890,619460,2,1,2,4
2022,20221103,113,2,2,549141,653254,1,2,0,4
2022,20221103,113,2,2,701534,688846,2,0,2,4
2022,20221103,113,2,2,451842,510565,1,2,0,4
2022,20221103,113,2,2,937315,769396,2,0,2,4
2022,20221103,113,2,2,615524,880806,1,2,0,4
2022,20221103,113,2,2,909013,555385,1,2,0,4
2022,20221103,113,2,2,520895,191141,1,2,0,4
2022,20221104,113,5,2,615524,619460,2,1,2,4
2022,20221104,113,5,2,688846,451842,1,2,0,4
2022,20221104,113,5,2,909013,769396,1,2,0,4
2022,20221104,113,5,2,520895,549141,1,2,1,4
2022,20221105,113,6,2,619460,909013,2,0,2,4
2022,20221105,113,6,2,688846,520895,2,0,2,4
2022,20221106,48,4,0,878209,750979,2,0,2,4
2022,20221106,48,4,0,282430,791769,1,2,0,4
2022,20221106,48,4,0,349378,165337,1,2,1,4
2022,20221106,48,4,0,425446,251429,1,2,0,4
2022,20221106,113,3,2,909013,520895,2,0,2,4
2022,20221107,47,1,0,896973,699414,2,1,2,4
2022,20221107,47,1,0,141528,688936,2,1,2,4
2022,20221107,47,1,0,322918,455355,2,0,2,4
2022,20221107,47,1,0,750979,989873,2,0,2,4
2022,20221107,47,1,0,741705,200984,1,2,0,4
2022,20221108,47,1,0,101703,425446,2,0,2,4
2022,20221108,47,1,0,446701,191141,1,2,0,4
2022,20221108,47,1,0,233310,221384,2,0,2,4
2022,20221108,47,1,0,255338,548563,1,2,0,4
2022,20221108,47,1,0,349378,804248,2,0,2,4
2022,20221108,47,1,0,441079,429517,2,0,2,4
2022,20221108,47,1,0,282430,289001,2,1,2,4
2022,20221108,47,1,0,199960,142829,1,2,1,4
2022,20221108,47,1,0,346262,203674,1,2,0,4
2022,20221108,47,1,0,729721,974387,1,2,0,4
2022,20221109,47,2,0,455355,688936,1,2,1,4
2022,20221109,47,1,0,710939,556756,1,2,0,4
2022,20221109,47,2,0,429517,425446,2,0,2,4
2022,20221109,47,2,0,741705,446701,2,0,2,4
2022,20221109,47,2,0,699414,989873,2,1,2,4
2022,20221110,47,2,0,199960,255338,1,2,0,4
2022,20221110,47,2,0,289001,804248,2,0,2,4
2022,20221110,47,2,0,729721,221384,1,2,1,4
2022,20221110,47,2,0,346262,710939,1,2,0,4
2022,20221111,47,5,0,729721,804248,1,2,0,4
2022,20221111,47,5,0,346262,446701,2,0,2,4
2022,20221111,47,5,0,425446,989873,2,0,2,4
2022,20221111,47,5,0,199960,455355,2,1,2,4
2022,20221112,47,6,0,729721,446701,1,2,1,4
